Имя Катушки;Тип катушки;Тип оболочки;Толщина стены;Мин. Радиус Изгиба;Единицы измерения;Внутренний диаметр до усадки;Наружный диаметр;Единицы измерения массы;Плотность Провода;Цвет;Стандарт;Наименование;Обозначение
PLETENKA_PML_2X4UZ_TU4833;SHEATH;SHRINK;0.24;4;MM;2x4;4.48;KILOGRAM;7.2e-06;Серый;"ТУ 4833-002-08558606-95";"Плетенка ПМЛ 2х4 УЗ ТУ 4833-002-08558606-95";PLETENKA_PML_2X4uz_tu4833;
PLETENKA_PML_3X6UZ_TU4833;SHEATH;SHRINK;0.3;4;MM;3x6;6.6;KILOGRAM;1.7e-05;Серый;"ТУ 4833-002-08558606-95";"Плетенка ПМЛ 3х6 УЗ ТУ 4833-002-08558606-95";PLETENKA_PML_3X6uz_tu4833;
PLETENKA_PML_4X5UZ_TU4833;SHEATH;SHRINK;0.24;4;MM;4x5;5.48;KILOGRAM;8.8e-06;Серый;"ТУ 4833-002-08558606-95";"Плетенка ПМЛ 4х5 УЗ ТУ 4833-002-08558606-95";PLETENKA_PML_4X5uz_tu4833;
PLETENKA_PML_6X10UZ_TU4833;SHEATH;SHRINK;0.3;4;MM;6x10;10.6;KILOGRAM;3.4e-05;Серый;"ТУ 4833-002-08558606-95";"Плетенка ПМЛ 6х10 УЗ ТУ 4833-002-08558606-95";PLETENKA_PML_6X10uz_tu4833;
PLETENKA_PML_10X16UZ_TU4833;SHEATH;SHRINK;0.4;5;MM;10x16;16.8;KILOGRAM;5.8e-05;Серый;"ТУ 4833-002-08558606-95";"Плетенка ПМЛ 10х16 УЗ ТУ 4833-002-08558606-95";PLETENKA_PML_10X16uz_tu4833;
PLETENKA_PML_16X24UZ_TU4833;SHEATH;SHRINK;0.6;5;MM;16x24;25.2;KILOGRAM;0.000125;Серый;"ТУ 4833-002-08558606-95";"Плетенка ПМЛ 16х24 УЗ ТУ 4833-002-08558606-95";PLETENKA_PML_16X24uz_tu4833;
PLETENKA_PML_24X30UZ_TU4833;SHEATH;SHRINK;0.6;5;MM;24x30;31.2;KILOGRAM;0.000145;Серый;"ТУ 4833-002-08558606-95";"Плетенка ПМЛ 24х30 УЗ ТУ 4833-002-08558606-95";PLETENKA_PML_24X30uz_tu4833;
PLETENKA_PML_30X40UZ_TU4833;SHEATH;SHRINK;0.6;5;MM;30x40;41.2;KILOGRAM;0.00019;Серый;"ТУ 4833-002-08558606-95";"Плетенка ПМЛ 30х40 УЗ ТУ 4833-002-08558606-95";PLETENKA_PML_30X40uz_tu4833;
PLETENKA_PML_40X55UZ_TU4833;SHEATH;SHRINK;0.6;5;MM;40x55;56.2;KILOGRAM;0.00026;Серый;"ТУ 4833-002-08558606-95";"Плетенка ПМЛ 40х55 УЗ ТУ 4833-002-08558606-95";PLETENKA_PML_40X55uz_tu4833;
